name	* Description	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
Jagged	+#% Enhanced Damage	100	1	1	1	24	1				9000	111	dmg%		10	20										weap							orb	wand				0	0
Deadly	+#% Enhanced Damage	100	1	1	4	34	3				9000	111	dmg%		21	30										weap							orb	wand				0	0
Vicious	+#% Enhanced Damage	100	1	1	6	44	5				9000	111	dmg%		31	40									lgry	weap							orb	wand				0	0
Brutal	+#% Enhanced Damage	100	1	1	10	53	9				9000	111	dmg%		41	50									lgry	weap							orb	wand				0	0
Massive	+#% Enhanced Damage	100	1	1	14	64	13				9000	111	dmg%		51	65									dgry	weap							orb	wand				0	0
Savage	+#% Enhanced Damage	100	1	1	18	72	16				9000	111	dmg%		66	80									dgry	weap							orb	wand				0	0
Heartless	+#% Enhanced Damage	100	1	1	22	80	20				9000	111	dmg%		81	100									dgry	weap							orb	wand				0	0
Merciless	+#% Enhanced Damage	100	1	1	29		26				9000	111	dmg%		101	125									dgry	weap							orb	wand				0	0
Merciless	+#% Enhanced Damage	100	1	1	34		32				9000	111	dmg%		126	150									blac	weap							orb	wand				0	0
Ferocious	+#% Enhanced Damage	100	1	1	39		38				6840	111	dmg%		151	200									blac	weap							orb	wand				0	0
Ferocious	+#% Enhanced Damage	100	1	1	43		43				6840	111	dmg%		210	233									blac	weap							orb	wand				0	0
Cruel	+#% Enhanced Damage	100	1	1	48		54				6840	111	dmg%		234	266									blac	weap							orb	wand				0	0
Cruel	+#% Enhanced Damage	100	1	1	52		59				6840	111	dmg%		267	300									blac	weap							orb	wand				0	0
Jagged	+#% Enhanced Damage	100	1	1	15		14				1560	105	dmg%		10	15										circ												0	0
Deadly	+#% Enhanced Damage	100	1	1	31		35				1560	105	dmg%		16	25										circ												0	0
Vicious	+#% Enhanced Damage	100	1	1	49		54				1440	105	dmg%		26	40										circ												0	0
Cinnabar	+#% Enhanced Damage	100	1	1	1	40	1				600	105	dmg%		5	10									dred	jewl												0	0
Rusty	+#% Enhanced Damage	100	1	1	9	80	8				600	105	dmg%		11	20									dred	jewl												0	0
Realgar	+#% Enhanced Damage	100	1	1	31		31				600	105	dmg%		21	30									dred	jewl												0	0
Ruby	+#% Enhanced Damage	100	1	1	46		49				600	105	dmg%		31	40									dred	jewl												0	0
Paradox	+#% Enhanced Maximum Damage (Based on Character Level)	100	1	1	14		15				120	111	dmg%/lvl	8											whit	weap							orb	wand				0	0
Paradox	+#% Enhanced Maximum Damage (Based on Character Level)	100	1	1	25		30				120	111	dmg%/lvl	12											whit	weap							orb	wand				0	0
Paradox	+#% Enhanced Maximum Damage (Based on Character Level)	100	1	1	39		42				120	111	dmg%/lvl	16											whit	weap							orb	wand				0	0
Paradox	+#% Enhanced Maximum Damage (Based on Character Level)	100	1	1	49		56				120	111	dmg%/lvl	24											whit	weap							orb	wand				0	0
Paradox	+#% Enhanced Maximum Damage (Based on Character Level)	100	1	1	59		65				120	111	dmg%/lvl	32											whit	weap							orb	wand				0	0
Sharp	+# to Attack Rating & +#% Enhanced Damage	100	1	1	4	20	3				240	111	att		10	20	dmg%		10	20						weap							orb	wand				0	0
Sharp	#% Deadly Strike & +#% Enhanced Damage	100	1	1	4	20	3				120	111	deadly		1	3	dmg%		10	20						weap							orb	wand				0	0
Sharp	#% Crushing Blow & +#% Enhanced Damage	100	1	1	4	20	3				120	111	crush		1	3	dmg%		10	20						weap							orb	wand				0	0
Sharp	#% Open Wounds & +#% Enhanced Damage	100	1	1	4	20	3				120	111	openwounds		5	7	dmg%		10	20						weap							orb	wand				0	0
Fine	+# to Attack Rating & +#% Enhanced Damage	100	1	1	8	30	8				240	111	att		21	40	dmg%		21	30						weap							orb	wand				0	0
Fine	#% Deadly Strike & +#% Enhanced Damage	100	1	1	8	30	8				120	111	deadly		2	5	dmg%		21	30						weap							orb	wand				0	0
Fine	#% Crushing Blow & +#% Enhanced Damage	100	1	1	8	30	8				120	111	crush		2	5	dmg%		21	30						weap							orb	wand				0	0
Fine	#% Open Wounds & +#% Enhanced Damage	100	1	1	8	30	8				120	111	openwounds		8	10	dmg%		21	30						weap							orb	wand				0	0
Mastersmith's	+# to Attack Rating & +#% Enhanced Damage	100	1	1	13	40	11				240	111	att		41	60	dmg%		31	40						weap							orb	wand				0	0
Mastersmith's	#% Deadly Strike & +#% Enhanced Damage	100	1	1	13	40	11				120	111	deadly		3	6	dmg%		31	40						weap							orb	wand				0	0
Mastersmith's	#% Crushing Blow & +#% Enhanced Damage	100	1	1	13	40	11				120	111	crush		3	6	dmg%		31	40						weap							orb	wand				0	0
Mastersmith's	#% Open Wounds & +#% Enhanced Damage	100	1	1	13	40	11				120	111	openwounds		11	16	dmg%		31	40						weap							orb	wand				0	0
Warrior's	+# to Attack Rating & +#% Enhanced Damage	100	1	1	19	50	16				240	111	att		61	80	dmg%		41	50						weap							orb	wand				0	0
Warrior's	#% Deadly Strike & +#% Enhanced Damage	100	1	1	19	50	16				120	111	deadly		4	8	dmg%		41	50						weap							orb	wand				0	0
Warrior's	#% Crushing Blow & +#% Enhanced Damage	100	1	1	19	50	16				120	111	crush		4	8	dmg%		41	50						weap							orb	wand				0	0
Warrior's	#% Open Wounds & +#% Enhanced Damage	100	1	1	19	50	16				120	111	openwounds		17	21	dmg%		41	50						weap							orb	wand				0	0
Soldier's	+# to Attack Rating & +#% Enhanced Damage	100	1	1	27	60	26				240	111	att		81	100	dmg%		51	65						weap							orb	wand				0	0
Soldier's	#% Deadly Strike & +#% Enhanced Damage	100	1	1	27	60	26				120	111	deadly		5	10	dmg%		51	65						weap							orb	wand				0	0
Soldier's	#% Crushing Blow & +#% Enhanced Damage	100	1	1	27	60	26				120	111	crush		5	10	dmg%		51	65						weap							orb	wand				0	0
Soldier's	#% Open Wounds & +#% Enhanced Damage	100	1	1	27	60	26				120	111	openwounds		22	28	dmg%		51	65						weap							orb	wand				0	0
Crusader's	+# to Attack Rating & +#% Enhanced Damage	100	1	1	31	70	31				240	111	att		101	125	dmg%		66	80					lgld	weap							orb	wand				0	0
Crusader's	#% Deadly Strike & +#% Enhanced Damage	100	1	1	31	70	31				120	111	deadly		6	12	dmg%		66	80					lgld	weap							orb	wand				0	0
Crusader's	#% Crushing Blow & +#% Enhanced Damage	100	1	1	31	70	31				120	111	crush		6	12	dmg%		66	80					lgld	weap							orb	wand				0	0
Crusader's	#% Open Wounds & +#% Enhanced Damage	100	1	1	31	70	31				120	111	openwounds		29	35	dmg%		66	80					lgld	weap							orb	wand				0	0
Knight's	+# to Attack Rating & +#% Enhanced Damage	100	1	1	36	80	38				240	111	att		126	150	dmg%		81	100					lgld	weap							orb	wand				0	0
Knight's	#% Deadly Strike & +#% Enhanced Damage	100	1	1	36	80	38				120	111	deadly		7	14	dmg%		81	100					lgld	weap							orb	wand				0	0
Knight's	#% Crushing Blow & +#% Enhanced Damage	100	1	1	36	80	38				120	111	crush		7	14	dmg%		81	100					lgld	weap							orb	wand				0	0
Knight's	#% Open Wounds & +#% Enhanced Damage	100	1	1	36	80	38				120	111	openwounds		36	44	dmg%		81	100					lgld	weap							orb	wand				0	0
Lord's	+# to Attack Rating & +#% Enhanced Damage	100	1	1	41		45				240	111	att		151	175	dmg%		101	133					lgld	weap							orb	wand				0	0
Lord's	#% Deadly Strike & +#% Enhanced Damage	100	1	1	46		51				120	111	deadly		8	16	dmg%		101	133					lgld	weap							orb	wand				0	0
Lord's	#% Crushing Blow & +#% Enhanced Damage	100	1	1	46		51				120	111	crush		8	16	dmg%		101	133					lgld	weap							orb	wand				0	0
Lord's	#% Open Wounds & +#% Enhanced Damage	100	1	1	46		51				120	111	openwounds		45	57	dmg%		101	133					lgld	weap							orb	wand				0	0
Overlord's	+# to Attack Rating & +#% Enhanced Damage	100	1	1	46		50				240	111	att		176	200	dmg%		134	166					lgld	weap							orb	wand				0	0
Overlord's	#% Deadly Strike & +#% Enhanced Damage	100	1	1	49		55				120	111	deadly		9	18	dmg%		134	166					lgld	weap							orb	wand				0	0
Overlord's	#% Crushing Blow & +#% Enhanced Damage	100	1	1	49		55				120	111	crush		9	18	dmg%		134	166					lgld	weap							orb	wand				0	0
Overlord's	#% Open Wounds & +#% Enhanced Damage	100	1	1	49		55				120	111	openwounds		58	67	dmg%		134	166					lgld	weap							orb	wand				0	0
King's	+# to Attack Rating & +#% Enhanced Damage	100	1	1	49		54				240	111	att		210	225	dmg%		167	200					dgld	weap							orb	wand				0	0
King's	#% Deadly Strike & +#% Enhanced Damage	100	1	1	52		59				120	111	deadly		10	20	dmg%		167	200					dgld	weap							orb	wand				0	0
King's	#% Crushing Blow & +#% Enhanced Damage	100	1	1	52		59				120	111	crush		10	20	dmg%		167	200					dgld	weap							orb	wand				0	0
King's	#% Open Wounds & +#% Enhanced Damage	100	1	1	52		59				120	111	openwounds		68	75	dmg%		167	200					dgld	weap							orb	wand				0	0
Master's	+# to Attack Rating & +#% Enhanced Damage	100	1	1	52		60				240	111	att		210	225	dmg%		201	250					dgld	weap							orb	wand				0	0
Master's	#% Deadly Strike & +#% Enhanced Damage	100	1	1	55		65				120	111	deadly		12	24	dmg%		201	250					dgld	weap							orb	wand				0	0
Master's	#% Crushing Blow & +#% Enhanced Damage	100	1	1	55		65				120	111	crush		12	24	dmg%		201	250					dgld	weap							orb	wand				0	0
Master's	#% Open Wounds & +#% Enhanced Damage	100	1	1	55		65				120	111	openwounds		76	83	dmg%		201	250					dgld	weap							orb	wand				0	0
Highmaster's	+# to Attack Rating & +#% Enhanced Damage	100	1	1	55		67				240	111	att		251	275	dmg%		251	300					dgld	weap							orb	wand				0	0
Highmaster's	#% Deadly Strike & +#% Enhanced Damage	100	1	1	58		70				120	111	deadly		13	26	dmg%		251	300					dgld	weap							orb	wand				0	0
Highmaster's	#% Crushing Blow & +#% Enhanced Damage	100	1	1	58		70				120	111	crush		13	26	dmg%		251	300					dgld	weap							orb	wand				0	0
Highmaster's	#% Open Wounds & +#% Enhanced Damage	100	1	1	58		70				120	111	openwounds		84	93	dmg%		251	300					dgld	weap							orb	wand				0	0
Grandmaster's	+# to Attack Rating & +#% Enhanced Damage	100	1	1	59		75				240	111	att		276	300	dmg%		301	350					dgld	weap							orb	wand				0	0
Grandmaster's	#% Deadly Strike & +#% Enhanced Damage	100	1	1	60		75				120	111	deadly		15	30	dmg%		301	350					dgld	weap							orb	wand				0	0
Grandmaster's	#% Crushing Blow & +#% Enhanced Damage	100	1	1	60		75				120	111	crush		15	30	dmg%		301	350					dgld	weap							orb	wand				0	0
Grandmaster's	#% Open Wounds & +#% Enhanced Damage	100	1	1	60		75				120	111	openwounds		94	100	dmg%		301	350					dgld	weap							orb	wand				0	0
Stout	+# Defense & +#% Enhanced Damage	100	1	1	1	40	1				240	111	ac		3	5	dmg%		10	20						weap												0	0
Stout	+# Defense & +#% Enhanced Damage	100	1	1	5	50	4				240	111	ac		6	9	dmg%		21	30						weap												0	0
Stout	+# Defense & +#% Enhanced Damage	100	1	1	8	55	8				240	111	ac		10	12	dmg%		31	40						weap												0	0
Burly	+# Defense & +#% Enhanced Damage	100	1	1	12	70	10				240	111	ac		13	15	dmg%		41	50						weap												0	0
Burly	+# Defense & +#% Enhanced Damage	100	1	1	15	75	14				240	111	ac		16	22	dmg%		51	60						weap												0	0
Burly	+# Defense & +#% Enhanced Damage	100	1	1	19	80	17				240	111	ac		23	30	dmg%		61	70						weap												0	0
Stalwart	+# Defense & +#% Enhanced Damage	100	1	1	22		20				240	111	ac		33	40	dmg%		71	80						weap												0	0
Stalwart	+# Defense & +#% Enhanced Damage	100	1	1	26		29				240	111	ac		44	50	dmg%		81	100						weap												0	0
Stalwart	+# Defense & +#% Enhanced Damage	100	1	1	29		41				240	111	ac		60	70	dmg%		101	125						weap												0	0
Stalwart	+# Defense & +#% Enhanced Damage	100	1	1	39		50				120	111	ac		70	85	dmg%		126	150						weap												0	0
Stalwart	+# Defense & +#% Enhanced Damage	100	1	1	48		57				120	111	ac		86	100	dmg%		151	175						weap												0	0
Stalwart	+# Defense & +#% Enhanced Damage	100	1	1	56		61				120	111	ac		100	125	dmg%		176	200						weap												0	0
Loremaster's1	+#% to Experience Gained & +#% Enhanced Damage	100	1	1	33		30				240	111	addxp		2	2	dmg%		76	100						weap												0	0
Sage's	+#% to Experience Gained & +#% Enhanced Damage	100	1	1	44		48				240	111	addxp		2	2	dmg%		101	150						weap												0	0
Sage's	+#% to Experience Gained & +#% Enhanced Damage	100	1	1	55		54				120	111	addxp		2	2	dmg%		151	225						weap												0	0
Master Sage's	+#% to Experience Gained & +#% Enhanced Damage	100	1	1	62		66				120	111	addxp		3	3	dmg%		225	250						weap												0	0
Ghostly	+#% Enhanced Damage & Ethereal & Repairs 1 durability in # seconds	100	1	1	29		31				240	111	dmg%		101	125	ethereal		1	1	rep-dur	10			cred	weap							orb	wand				0	0
Spectral1	+#% Enhanced Damage & Ethereal & Repairs 1 durability in # seconds	100	1	1	43		43				240	111	dmg%		126	150	ethereal		1	1	rep-dur	10			cgrn	weap							orb	wand				0	0
Phantom1	+#% Enhanced Damage & Ethereal & Repairs 1 durability in # seconds	100	1	1	53		57				240	111	dmg%		151	175	ethereal		1	1	rep-dur	10			cblu	weap							orb	wand				0	0
Wraithly1	+#% Enhanced Damage & Ethereal & Repairs 1 durability in # seconds	100	1	1	60		68				240	111	dmg%		176	200	ethereal		1	1	rep-dur	10			whit	weap							orb	wand				0	0
Assamic	+# to Attack Rating against Demons & +#% Damage to Demons	100	1	1	2	20	1				240	123	att-demon		25	50	dmg-demon		10	25						weap	circ						wand	orb				0	0
Arcadian	+# to Attack Rating against Demons & +#% Damage to Demons	100	1	1	11	40	9				240	123	att-demon		51	100	dmg-demon		26	50						weap	circ						wand	orb				0	0
Unearthly	+# to Attack Rating against Demons & +#% Damage to Demons	100	1	1	18	65	15				120	123	att-demon		101	150	dmg-demon		51	100						weap							wand	orb				0	0
Astral	+# to Attack Rating against Demons & +#% Damage to Demons	100	1	1	25		22				120	123	att-demon		151	200	dmg-demon		101	150						weap							wand	orb				0	0
Elysian	+# to Attack Rating against Demons & +#% Damage to Demons	100	1	1	31		28				120	123	att-demon		201	300	dmg-demon		151	200					dgld	weap							wand	orb				0	0
Celestial	+# to Attack Rating against Demons & +#% Damage to Demons	100	1	1	39		35				120	123	att-demon		301	400	dmg-demon		201	300					dgld	weap							wand	orb				0	0
Diamond	+# to Attack Rating against Demons & +#% Damage to Demons	100	1	1	18		16				120	123	att-demon		25	50	dmg-demon		25	40						jewl												0	0
Consecrated	+# to Attack Rating against Undead & +#% Damage to Undead	100	1	1	1	35	1				480	142	att-undead		25	75	dmg-undead		25	75						weap							wand	orb				0	0
Pure	+# to Attack Rating against Undead & +#% Damage to Undead	100	1	1	11	60	9				360	142	att-undead		76	175	dmg-undead		76	125					lgld	weap							wand	orb				0	0
Sacred	+# to Attack Rating against Undead & +#% Damage to Undead	100	1	1	18		15				240	142	att-undead		175	250	dmg-undead		126	200					lgld	weap							wand	orb				0	0
Hallowed	+# to Attack Rating against Undead & +#% Damage to Undead	100	1	1	25		23				120	142	att-undead		251	325	dmg-undead		201	275					lgld	weap							wand	orb				0	0
Divine	+# to Attack Rating against Undead & +#% Damage to Undead	100	1	1	31		31				120	142	att-undead		326	450	dmg-undead		276	350					lgld	weap							wand	orb				0	0
Pearl	+# to Attack Rating against Undead & +#% Damage to Undead	100	1	1	13		11				120	142	att-undead		25	50	dmg-undead		25	50						jewl												0	0
Bronze	+# to Attack Rating	100	1	1	1	35	1				960	110	att		10	20										weap	ring	circ	glov	amul			orb	wand				0	0
